Pais,Anio,Escolaridad,Relacion_salarial
Bolivia,2001,13 años y más,77.2
Bolivia,2001,6 a 9 años,65
Bolivia,2001,Total,86.1
Bolivia,2002,0 a 5 años,67.1
Bolivia,2002,10 a 12 años,69.8
Bolivia,2002,13 años y más,60.9
Bolivia,2002,6 a 9 años,90.6
Bolivia,2002,Total,71.8
Bolivia,2004,0 a 5 años,73
Bolivia,2004,10 a 12 años,73.4
Bolivia,2004,13 años y más,74.9
Bolivia,2004,6 a 9 años,68.7
Bolivia,2004,Total,80.5
Bolivia,2005,0 a 5 años,71.6
Bolivia,2005,10 a 12 años,67.7
Bolivia,2005,13 años y más,69.5
Bolivia,2005,6 a 9 años,62.3
Bolivia,2005,Total,82.8
Bolivia,2006,0 a 5 años,66.5
Bolivia,2006,10 a 12 años,69.6
Bolivia,2006,13 años y más,54.7
Bolivia,2006,6 a 9 años,64.3
Bolivia,2006,Total,68.9
Bolivia,2007,0 a 5 años,67.9
Bolivia,2007,10 a 12 años,68.2
Bolivia,2007,13 años y más,71
Bolivia,2007,6 a 9 años,70.1
Bolivia,2007,Total,76.7
Bolivia,2008,0 a 5 años,64.5
Bolivia,2008,10 a 12 años,65.2
Bolivia,2008,13 años y más,70.3
Bolivia,2008,6 a 9 años,59.9
Bolivia,2008,Total,70.4
Bolivia,2009,0 a 5 años,67.3
Bolivia,2009,10 a 12 años,72.5
Bolivia,2009,13 años y más,81
Bolivia,2009,6 a 9 años,62.1
Bolivia,2009,Total,78.9
Bolivia,2011,0 a 5 años,64.6
Bolivia,2011,10 a 12 años,63.9
Bolivia,2011,13 años y más,78.2
Bolivia,2011,6 a 9 años,68.8
Bolivia,2011,Total,77.7
Bolivia,2012,0 a 5 años,55.9
Bolivia,2012,10 a 12 años,60
Bolivia,2012,13 años y más,81.5
Bolivia,2012,6 a 9 años,50.2
Bolivia,2012,Total,75.1
Bolivia,2013,0 a 5 años,62.4
Bolivia,2013,10 a 12 años,66.5
Bolivia,2013,13 años y más,78.6
Bolivia,2013,6 a 9 años,54.9
Bolivia,2013,Total,76.7
Bolivia,2014,0 a 5 años,61.8
Bolivia,2014,10 a 12 años,65
Bolivia,2014,13 años y más,81.2
Bolivia,2014,6 a 9 años,60.9
Bolivia,2014,Total,77.1
Bolivia,2015,0 a 5 años,61.2
Bolivia,2015,10 a 12 años,69.6
Bolivia,2015,13 años y más,88.8
Bolivia,2015,6 a 9 años,66
Bolivia,2015,Total,84.4
Bolivia,2016,0 a 5 años,64.4
Bolivia,2016,10 a 12 años,72.2
Bolivia,2016,13 años y más,78.3
Bolivia,2016,6 a 9 años,63.1
Bolivia,2016,Total,78.2
Bolivia,2017,0 a 5 años,64
Bolivia,2017,10 a 12 años,74.6
Bolivia,2017,13 años y más,80.7
Bolivia,2017,6 a 9 años,67.3
Bolivia,2017,Total,81.3
Bolivia,2018,0 a 5 años,67.8
Bolivia,2018,10 a 12 años,74.8
Bolivia,2018,13 años y más,87.5
Bolivia,2018,6 a 9 años,74.8
Bolivia,2018,Total,85.9
Bolivia,2019,0 a 5 años,68.3
Bolivia,2019,10 a 12 años,71.2
Bolivia,2019,13 años y más,85
Bolivia,2019,6 a 9 años,64.7
Bolivia,2019,Total,82.1
Bolivia,2020,0 a 5 años,73.8
Bolivia,2020,10 a 12 años,75.7
Bolivia,2020,13 años y más,91.4
Bolivia,2020,6 a 9 años,68
Bolivia,2020,Total,91
Bolivia,2021,0 a 5 años,63.6
Bolivia,2021,10 a 12 años,70.6
Bolivia,2021,13 años y más,84.7
Bolivia,2021,6 a 9 años,70.2
Bolivia,2021,Total,86.5
Bolivia,2022,0 a 5 años,67.1
Bolivia,2022,10 a 12 años,74.3
Bolivia,2022,13 años y más,83.1
Bolivia,2022,6 a 9 años,69.7
Bolivia,2022,Total,84.6
Bolivia,2023,0 a 5 años,71.2
Bolivia,2023,10 a 12 años,73.9
Bolivia,2023,13 años y más,85.1
Bolivia,2023,6 a 9 años,85.8
Bolivia,2023,Total,86.4
Brasil,2001,0 a 5 años,67.3
Chile,2017,Total,86.1
Chile,2020,0 a 5 años,90.5
Chile,2020,10 a 12 años,80.3
Chile,2020,13 años y más,77
Chile,2020,6 a 9 años,91.5
Chile,2020,Total,84.9
Chile,2022,0 a 5 años,95.8
Chile,2022,10 a 12 años,80.1
Chile,2022,13 años y más,76.7
Chile,2022,6 a 9 años,82.7
Chile,2022,Total,84
Colombia,2002,0 a 5 años,95.4
Ecuador,2018,13 años y más,86.8
Ecuador,2018,6 a 9 años,81.2
Ecuador,2018,Total,97.9
Ecuador,2019,0 a 5 años,105.3
Ecuador,2019,10 a 12 años,82.6
Ecuador,2019,13 años y más,87.9
Ecuador,2019,6 a 9 años,87.9
Ecuador,2019,Total,100
Ecuador,2020,0 a 5 años,92.8
Ecuador,2020,10 a 12 años,88.3
Ecuador,2020,13 años y más,87.3
Ecuador,2020,6 a 9 años,85.4
Ecuador,2020,Total,106.8
Ecuador,2021,0 a 5 años,105.3
Ecuador,2021,10 a 12 años,88.3
Ecuador,2021,13 años y más,88.9
Ecuador,2021,6 a 9 años,90.5
Ecuador,2021,Total,103.4
Ecuador,2022,0 a 5 años,92.7
Ecuador,2022,10 a 12 años,87.9
Ecuador,2022,13 años y más,88.5
Ecuador,2022,6 a 9 años,85.5
Ecuador,2022,Total,100.8
Ecuador,2023,0 a 5 años,94.5
Ecuador,2023,10 a 12 años,89.3
Ecuador,2023,13 años y más,93
Ecuador,2023,6 a 9 años,88.9
Ecuador,2023,Total,104.6
Ecuador,2024,0 a 5 años,83.2
Ecuador,2024,10 a 12 años,86.3
Ecuador,2024,13 años y más,91.4
Ecuador,2024,6 a 9 años,90
Ecuador,2024,Total,99.4
El Salvador,2000,0 a 5 años,80.6
El Salvador,2000,10 a 12 años,84
El Salvador,2000,13 años y más,82.9
El Salvador,2000,6 a 9 años,79.7
El Salvador,2000,Total,86.3
El Salvador,2001,0 a 5 años,76.4
El Salvador,2001,10 a 12 años,87.1
El Salvador,2001,13 años y más,79.8
El Salvador,2001,6 a 9 años,75.5
El Salvador,2001,Total,87.5
El Salvador,2002,0 a 5 años,83.8
El Salvador,2002,10 a 12 años,89.9
El Salvador,2002,13 años y más,72.3
El Salvador,2002,6 a 9 años,77.7
El Salvador,2002,Total,84
El Salvador,2003,0 a 5 años,83.3
El Salvador,2003,10 a 12 años,86
El Salvador,2003,13 años y más,82
El Salvador,2003,6 a 9 años,74.7
El Salvador,2003,Total,86.6
El Salvador,2004,0 a 5 años,84.2
El Salvador,2004,10 a 12 años,79.2
El Salvador,2004,13 años y más,90.9
El Salvador,2004,6 a 9 años,73.6
El Salvador,2004,Total,89.5
El Salvador,2005,0 a 5 años,79.4
El Salvador,2005,10 a 12 años,90.7
El Salvador,2005,13 años y más,79.9
El Salvador,2005,6 a 9 años,80.7
El Salvador,2005,Total,87.5
El Salvador,2006,0 a 5 años,97.6
El Salvador,2006,10 a 12 años,82
El Salvador,2006,13 años y más,75
El Salvador,2006,6 a 9 años,78.8
El Salvador,2006,Total,87.3
El Salvador,2007,0 a 5 años,82.5
El Salvador,2007,10 a 12 años,89.9
El Salvador,2007,13 años y más,79.8
El Salvador,2007,6 a 9 años,79.5
El Salvador,2007,Total,87.6
El Salvador,2009,0 a 5 años,88.2
El Salvador,2009,10 a 12 años,82.4
El Salvador,2009,13 años y más,87.4
El Salvador,2009,6 a 9 años,83.9
El Salvador,2009,Total,93.9
El Salvador,2010,0 a 5 años,89.4
El Salvador,2010,10 a 12 años,85.4
El Salvador,2010,13 años y más,89.3
El Salvador,2010,6 a 9 años,81.4
El Salvador,2010,Total,94.7
El Salvador,2012,0 a 5 años,89.2
El Salvador,2012,10 a 12 años,81.6
El Salvador,2012,13 años y más,79
El Salvador,2012,6 a 9 años,86.8
El Salvador,2012,Total,88.1
El Salvador,2013,0 a 5 años,94.4
El Salvador,2013,10 a 12 años,90
El Salvador,2013,13 años y más,105.7
El Salvador,2013,6 a 9 años,87.3
El Salvador,2013,Total,103.6
El Salvador,2014,0 a 5 años,86.9
El Salvador,2014,10 a 12 años,88.8
El Salvador,2014,13 años y más,94.8
El Salvador,2014,6 a 9 años,85.9
El Salvador,2014,Total,96.1
El Salvador,2015,0 a 5 años,89.4
El Salvador,2015,10 a 12 años,87.8
El Salvador,2015,13 años y más,87.6
El Salvador,2015,6 a 9 años,84.1
El Salvador,2015,Total,94.6
El Salvador,2016,0 a 5 años,91.6
El Salvador,2016,10 a 12 años,86.9
El Salvador,2016,13 años y más,92
El Salvador,2016,6 a 9 años,83.7
El Salvador,2016,Total,92.3
El Salvador,2017,0 a 5 años,90
El Salvador,2017,10 a 12 años,87
El Salvador,2017,13 años y más,95.6
El Salvador,2017,6 a 9 años,89.3
El Salvador,2017,Total,95.2
El Salvador,2018,0 a 5 años,89.8
El Salvador,2018,10 a 12 años,87.4
El Salvador,2018,13 años y más,89.5
El Salvador,2018,6 a 9 años,89.4
El Salvador,2018,Total,93.4
El Salvador,2019,0 a 5 años,85.6
El Salvador,2019,10 a 12 años,88.5
El Salvador,2019,13 años y más,99.1
El Salvador,2019,6 a 9 años,88.6
El Salvador,2019,Total,97.2
El Salvador,2020,0 a 5 años,91.2
El Salvador,2020,10 a 12 años,87.6
El Salvador,2020,13 años y más,96.6
El Salvador,2020,6 a 9 años,78.1
El Salvador,2020,Total,94.9
El Salvador,2021,0 a 5 años,87.1
El Salvador,2021,10 a 12 años,88.1
El Salvador,2021,13 años y más,90.1
El Salvador,2021,6 a 9 años,85.8
El Salvador,2021,Total,93.3
El Salvador,2022,0 a 5 años,89.2
El Salvador,2022,10 a 12 años,91.2
El Salvador,2022,13 años y más,97.1
El Salvador,2022,6 a 9 años,86.4
El Salvador,2022,Total,96
El Salvador,2023,0 a 5 años,76.6
El Salvador,2023,10 a 12 años,86.4
El Salvador,2023,13 años y más,96.3
El Salvador,2023,6 a 9 años,83.5
El Salvador,2023,Total,94.5
Guatemala,2000,0 a 5 años,90.2
Guatemala,2000,10 a 12 años,78.3
Guatemala,2000,13 años y más,57.4
Guatemala,2000,6 a 9 años,78.1
Guatemala,2000,Total,72.4
Guatemala,2006,0 a 5 años,101.8
Guatemala,2006,10 a 12 años,81.2
Guatemala,2006,13 años y más,63
Guatemala,2006,6 a 9 años,74.5
Guatemala,2006,Total,82.9
Guatemala,2014,0 a 5 años,81.4
Guatemala,2014,10 a 12 años,115.2
Guatemala,2014,13 años y más,73.6
Guatemala,2014,6 a 9 años,75.1
Guatemala,2014,Total,102.6
Guatemala,2023,0 a 5 años,66.8
Guatemala,2023,10 a 12 años,88
Guatemala,2023,13 años y más,82.3
Guatemala,2023,6 a 9 años,66.3
Guatemala,2023,Total,89.1
Honduras,2001,0 a 5 años,84.1
Nicaragua,2005,13 años y más,71.3
Nicaragua,2005,6 a 9 años,76
Nicaragua,2005,Total,87.3
Nicaragua,2009,0 a 5 años,94.4
Nicaragua,2009,10 a 12 años,79.9
Nicaragua,2009,13 años y más,77.7
Nicaragua,2009,6 a 9 años,80.2
Nicaragua,2009,Total,89.1
Nicaragua,2014,0 a 5 años,89.4
Nicaragua,2014,10 a 12 años,77.9
Nicaragua,2014,13 años y más,74.2
Nicaragua,2014,6 a 9 años,80.5
Nicaragua,2014,Total,89.2
Panamá,2000,0 a 5 años,116.5
Uruguay,2011,6 a 9 años,65
Uruguay,2011,Total,83.8
Uruguay,2012,0 a 5 años,67
Uruguay,2012,10 a 12 años,73.5
Uruguay,2012,13 años y más,80
Uruguay,2012,6 a 9 años,64.8
Uruguay,2012,Total,84.1
Uruguay,2013,0 a 5 años,64
Uruguay,2013,10 a 12 años,74.7
Uruguay,2013,13 años y más,78.6
Uruguay,2013,6 a 9 años,65.7
Uruguay,2013,Total,83.8
Uruguay,2014,0 a 5 años,62
Uruguay,2014,10 a 12 años,74.3
Uruguay,2014,13 años y más,79.3
Uruguay,2014,6 a 9 años,66.6
Uruguay,2014,Total,84.3
Uruguay,2015,0 a 5 años,66.3
Uruguay,2015,10 a 12 años,75.5
Uruguay,2015,13 años y más,76.9
Uruguay,2015,6 a 9 años,67.9
Uruguay,2015,Total,84.2
Uruguay,2016,0 a 5 años,75.6
Uruguay,2016,10 a 12 años,76.3
Uruguay,2016,13 años y más,78.7
Uruguay,2016,6 a 9 años,69.7
Uruguay,2016,Total,85.5
Uruguay,2017,0 a 5 años,76.2
Uruguay,2017,10 a 12 años,77.5
Uruguay,2017,13 años y más,81.2
Uruguay,2017,6 a 9 años,67.9
Uruguay,2017,Total,86.8
Uruguay,2018,0 a 5 años,76.3
Uruguay,2018,10 a 12 años,77.9
Uruguay,2018,13 años y más,82.3
Uruguay,2018,6 a 9 años,72.9
Uruguay,2018,Total,88.3
Uruguay,2019,0 a 5 años,61.6
Uruguay,2019,10 a 12 años,78.8
Uruguay,2019,13 años y más,81.9
Uruguay,2019,6 a 9 años,72.1
Uruguay,2019,Total,88.8
Uruguay,2020,0 a 5 años,97.9
Uruguay,2020,10 a 12 años,79.6
Uruguay,2020,13 años y más,85
Uruguay,2020,6 a 9 años,73
Uruguay,2020,Total,90.9
Uruguay,2021,0 a 5 años,104.4
Uruguay,2021,10 a 12 años,83.3
Uruguay,2021,13 años y más,87.5
Uruguay,2021,6 a 9 años,74.4
Uruguay,2021,Total,95
Uruguay,2022,0 a 5 años,70.7
Uruguay,2022,10 a 12 años,79.6
Uruguay,2022,13 años y más,83.6
Uruguay,2022,6 a 9 años,71.3
Uruguay,2022,Total,90.3
Uruguay,2023,0 a 5 años,75.3
Uruguay,2023,10 a 12 años,81.9
Uruguay,2023,13 años y más,80.3
Uruguay,2023,6 a 9 años,73
Uruguay,2023,Total,89.8
Uruguay,2024,0 a 5 años,66.9
Uruguay,2024,10 a 12 años,83.6
Uruguay,2024,13 años y más,81.1
Uruguay,2024,6 a 9 años,70.4
Uruguay,2024,Total,90.3
Venezuela,2000,0 a 5 años,92
Venezuela,2000,10 a 12 años,75.4
Venezuela,2000,13 años y más,81.5
Venezuela,2000,6 a 9 años,77.5
Venezuela,2000,Total,91
Venezuela,2001,0 a 5 años,81.9
Venezuela,2001,10 a 12 años,76.4
Venezuela,2001,13 años y más,83.1
Venezuela,2001,6 a 9 años,76.7
Venezuela,2001,Total,95.8
Venezuela,2002,0 a 5 años,80.6
Venezuela,2002,10 a 12 años,80.6
Venezuela,2002,13 años y más,82.6
Venezuela,2002,6 a 9 años,79.1
Venezuela,2002,Total,96.7
Venezuela,2003,0 a 5 años,79.8
Venezuela,2003,10 a 12 años,79.9
Venezuela,2003,13 años y más,77.6
Venezuela,2003,6 a 9 años,75.1
Venezuela,2003,Total,91.6
Venezuela,2004,0 a 5 años,72.9
Venezuela,2004,10 a 12 años,84.2
Venezuela,2004,13 años y más,81.5
Venezuela,2004,6 a 9 años,80.5
Venezuela,2004,Total,94.4
Venezuela,2005,0 a 5 años,70
Venezuela,2005,10 a 12 años,81
Venezuela,2005,13 años y más,86.3
Venezuela,2005,6 a 9 años,77.8
Venezuela,2005,Total,96.1
Venezuela,2006,0 a 5 años,72.6
Venezuela,2006,10 a 12 años,82.5
Venezuela,2006,13 años y más,78.6
Venezuela,2006,6 a 9 años,75.3
Venezuela,2006,Total,91.3
Venezuela,2007,0 a 5 años,85.9
Venezuela,2007,10 a 12 años,78.6
Venezuela,2007,13 años y más,85.3
Venezuela,2007,6 a 9 años,81.4
Venezuela,2007,Total,94.2
Venezuela,2008,0 a 5 años,81.2
Venezuela,2008,10 a 12 años,81.2
Venezuela,2008,13 años y más,83.9
Venezuela,2008,6 a 9 años,78.1
Venezuela,2008,Total,92.4
Venezuela,2009,0 a 5 años,88.3
Venezuela,2009,10 a 12 años,82.3
Venezuela,2009,13 años y más,86.7
Venezuela,2009,6 a 9 años,78
Venezuela,2009,Total,94.7
Venezuela,2010,0 a 5 años,84.1
Venezuela,2010,10 a 12 años,82.1
Venezuela,2010,13 años y más,87.8
Venezuela,2010,6 a 9 años,80
Venezuela,2010,Total,94
Venezuela,2011,0 a 5 años,79.7
Venezuela,2011,10 a 12 años,87.9
Venezuela,2011,13 años y más,86.4
Venezuela,2011,6 a 9 años,78.5
Venezuela,2011,Total,95.6
Venezuela,2012,0 a 5 años,90.7
Venezuela,2012,10 a 12 años,84.8
Venezuela,2012,13 años y más,89.4
Venezuela,2012,6 a 9 años,81
Venezuela,2012,Total,95.1
Venezuela,2013,0 a 5 años,77.4
Venezuela,2013,10 a 12 años,84.5
Venezuela,2013,13 años y más,89.4
Venezuela,2013,6 a 9 años,81.1
Venezuela,2013,Total,95.1
Venezuela,2014,0 a 5 años,97.8
Venezuela,2014,10 a 12 años,83.4
Venezuela,2014,13 años y más,87.3
Venezuela,2014,6 a 9 años,85.5
Venezuela,2014,Total,93.8
América Latina,2000,0 a 5 años,79.7
América Latina,2000,10 a 12 años,78.7
América Latina,2000,13 años y más,70
América Latina,2000,6 a 9 años,74.5
América Latina,2000,Total,81.4
América Latina,2001,0 a 5 años,74.9
América Latina,2001,10 a 12 años,78.3
América Latina,2001,13 años y más,71.7
América Latina,2001,6 a 9 años,74.6
América Latina,2001,Total,83.2
América Latina,2002,0 a 5 años,77.9
América Latina,2002,10 a 12 años,78.8
América Latina,2002,13 años y más,71.8
América Latina,2002,6 a 9 años,74.8
América Latina,2002,Total,83.2
América Latina,2003,0 a 5 años,77.2
América Latina,2003,10 a 12 años,75.8
América Latina,2003,13 años y más,71.7
América Latina,2003,6 a 9 años,76.3
América Latina,2003,Total,82.3
América Latina,2004,0 a 5 años,76.8
América Latina,2004,10 a 12 años,75
América Latina,2004,13 años y más,73.2
América Latina,2004,6 a 9 años,75.1
América Latina,2004,Total,83.9
América Latina,2005,0 a 5 años,76
América Latina,2005,10 a 12 años,78.2
América Latina,2005,13 años y más,74.9
América Latina,2005,6 a 9 años,73.8
América Latina,2005,Total,85.9
América Latina,2006,0 a 5 años,76.1
América Latina,2006,10 a 12 años,78.4
América Latina,2006,13 años y más,73
América Latina,2006,6 a 9 años,73.8
América Latina,2006,Total,85.4
América Latina,2007,0 a 5 años,74.7
América Latina,2007,10 a 12 años,77.7
América Latina,2007,13 años y más,74.4
América Latina,2007,6 a 9 años,73.4
América Latina,2007,Total,84.9
América Latina,2008,0 a 5 años,74.7
América Latina,2008,10 a 12 años,76.5
América Latina,2008,13 años y más,74.4
América Latina,2008,6 a 9 años,72
América Latina,2008,Total,83.8
América Latina,2009,0 a 5 años,78
América Latina,2009,10 a 12 años,76.8
América Latina,2009,13 años y más,76.7
América Latina,2009,6 a 9 años,73.5
América Latina,2009,Total,85.7
América Latina,2010,0 a 5 años,77.6
América Latina,2010,10 a 12 años,78
América Latina,2010,13 años y más,76.8
América Latina,2010,6 a 9 años,73.9
América Latina,2010,Total,85.6
América Latina,2011,0 a 5 años,77.1
América Latina,2011,10 a 12 años,79.1
América Latina,2011,13 años y más,77.2
América Latina,2011,6 a 9 años,74.3
América Latina,2011,Total,86.6
América Latina,2012,0 a 5 años,81.1
América Latina,2012,10 a 12 años,77.7
América Latina,2012,13 años y más,78.9
América Latina,2012,6 a 9 años,75.5
América Latina,2012,Total,87.4
América Latina,2013,0 a 5 años,80
América Latina,2013,10 a 12 años,78.5
América Latina,2013,13 años y más,80.2
América Latina,2013,6 a 9 años,75.1
América Latina,2013,Total,88.2
América Latina,2014,0 a 5 años,79.7
América Latina,2014,10 a 12 años,80.5
América Latina,2014,13 años y más,78.8
América Latina,2014,6 a 9 años,75.8
América Latina,2014,Total,88.3
América Latina,2015,0 a 5 años,81.4
América Latina,2015,10 a 12 años,81.1
América Latina,2015,13 años y más,81.2
América Latina,2015,6 a 9 años,77
América Latina,2015,Total,90.8
América Latina,2016,0 a 5 años,81
América Latina,2016,10 a 12 años,82.2
América Latina,2016,13 años y más,81.3
América Latina,2016,6 a 9 años,77.3
América Latina,2016,Total,90.8
América Latina,2017,0 a 5 años,79.1
América Latina,2017,10 a 12 años,82.4
América Latina,2017,13 años y más,82
América Latina,2017,6 a 9 años,78.2
América Latina,2017,Total,91.2
América Latina,2018,0 a 5 años,81.1
América Latina,2018,10 a 12 años,81.8
América Latina,2018,13 años y más,82.7
América Latina,2018,6 a 9 años,78.7
América Latina,2018,Total,91.6
América Latina,2019,0 a 5 años,83.8
América Latina,2019,10 a 12 años,81.8
América Latina,2019,13 años y más,83.7
América Latina,2019,6 a 9 años,78.7
América Latina,2019,Total,92.4
América Latina,2020,0 a 5 años,85.6
América Latina,2020,10 a 12 años,83.5
América Latina,2020,13 años y más,84.7
América Latina,2020,6 a 9 años,79.4
América Latina,2020,Total,94.7
América Latina,2021,0 a 5 años,84
América Latina,2021,10 a 12 años,83.9
América Latina,2021,13 años y más,83.5
América Latina,2021,6 a 9 años,80.5
América Latina,2021,Total,93.4
América Latina,2022,0 a 5 años,85.1
América Latina,2022,10 a 12 años,83.2
América Latina,2022,13 años y más,83.4
América Latina,2022,6 a 9 años,79.5
América Latina,2022,Total,92.2
América Latina,2023,0 a 5 años,81.3
América Latina,2023,10 a 12 años,82.3
América Latina,2023,13 años y más,84.4
América Latina,2023,6 a 9 años,79.5
América Latina,2023,Total,92
América Latina,2024,0 a 5 años,77.4
América Latina,2024,10 a 12 años,82
América Latina,2024,13 años y más,84.9
América Latina,2024,6 a 9 años,80.9
América Latina,2024,Total,91.7
Argentina,2000,0 a 5 años,81.1
Argentina,2000,10 a 12 años,79.6
Argentina,2000,13 años y más,71.3
Argentina,2000,6 a 9 años,75.8
Argentina,2000,Total,87.9
Argentina,2001,0 a 5 años,86.5
Argentina,2001,10 a 12 años,76.7
Argentina,2001,13 años y más,75.2
Argentina,2001,6 a 9 años,73.6
Argentina,2001,Total,89.7
Argentina,2002,0 a 5 años,89.5
Argentina,2002,10 a 12 años,81.1
Argentina,2002,13 años y más,69.8
Argentina,2002,6 a 9 años,65.6
Argentina,2002,Total,85.6
Argentina,2003,0 a 5 años,85.7
Argentina,2003,10 a 12 años,84.4
Argentina,2003,13 años y más,83
Argentina,2003,6 a 9 años,79.8
Argentina,2003,Total,95.6
Argentina,2004,0 a 5 años,84.2
Argentina,2004,10 a 12 años,77.1
Argentina,2004,13 años y más,78.5
Argentina,2004,6 a 9 años,73.6
Argentina,2004,Total,89.1
Argentina,2005,0 a 5 años,76.5
Argentina,2005,10 a 12 años,82.5
Argentina,2005,13 años y más,74.3
Argentina,2005,6 a 9 años,70.3
Argentina,2005,Total,89.1
Argentina,2006,0 a 5 años,74.8
