Pais,Anios,tasaCrecimiento
América Central,2000,2.79
América Central,2001,-1.55
América Central,2002,-1.1
América Central,2003,-0.81
América Central,2004,1.26
América Central,2005,-1.14
América Central,2006,1.89
América Central,2007,0.42
América Central,2008,-0.2
América Central,2009,-6.04
América Central,2010,2.7
América Central,2011,1.34
América Central,2012,-0.23
América Central,2013,0.02
América Central,2014,1.35
América Central,2015,0.71
América Central,2016,0.33
América Central,2017,0.25
América Central,2018,-0.14
América Central,2019,-1.73
América Central,2020,-1.65
América Central,2021,-0.49
América Central,2022,-0.06
América Central,2023,1.01
América Central,2024,0.24
Chile,2000,3.68
Chile,2001,2.85
Chile,2002,2.05
Chile,2003,1.44
Chile,2004,4.55
Chile,2005,2.39
Chile,2006,1.75
Chile,2007,1.86
Chile,2008,0.95
Chile,2009,-0.11
Chile,2010,-2.31
Chile,2011,1.2
Chile,2012,3.93
Chile,2013,1.25
Chile,2014,0.36
Chile,2015,0.38
Chile,2016,0.42
Chile,2017,-1.27
Chile,2018,1.73
Chile,2019,-1.26
Chile,2020,7.74
Chile,2021,6.15
Chile,2022,-4.3
Chile,2023,-2.19
Chile,2024,1.53
Colombia,2000,1.05
Colombia,2001,-6.9
Colombia,2002,1.26
Colombia,2003,-0.97
Colombia,2004,4.9
Colombia,2005,1.65
Colombia,2006,5.72
Colombia,2007,5.87
Colombia,2008,0.84
Colombia,2009,-4.17
Colombia,2010,1.21
Colombia,2011,3.26
Colombia,2012,0.84
Colombia,2013,3.7
Colombia,2014,2.67
Colombia,2015,1
Colombia,2016,1.62
Colombia,2017,-0.11
Colombia,2018,1.38
Colombia,2019,3.11
Colombia,2020,-1.48
Colombia,2021,4.93
Colombia,2022,3.61
Colombia,2023,-2.93
Colombia,2024,0.4
Costa Rica,2000,1.45
Costa Rica,2001,-0.57
Costa Rica,2002,1.89
Costa Rica,2003,1.51
Costa Rica,2004,3.7
Costa Rica,2005,-2.18
Costa Rica,2006,5.12
Costa Rica,2007,3.03
Costa Rica,2008,3.84
Costa Rica,2009,0.88
Costa Rica,2010,4.8
Costa Rica,2011,2.71
Costa Rica,2012,-3.34
Costa Rica,2013,0.82
Costa Rica,2014,1.3
Costa Rica,2015,4.13
Costa Rica,2016,7.59
Costa Rica,2017,2.03
Costa Rica,2018,-1.19
Costa Rica,2019,-0.1
Costa Rica,2020,7.03
Costa Rica,2021,3.22
Costa Rica,2022,-0.51
Costa Rica,2023,8.81
Costa Rica,2024,2.73
Cuba,2000,3.97
Cuba,2001,0.97
Cuba,2002,0.08
Cuba,2003,2.1
Cuba,2004,4.48
Cuba,2005,10.18
Cuba,2006,10.9
Cuba,2007,6.4
Cuba,2008,3.45
Cuba,2009,-1.06
Cuba,2010,4.2
Cuba,2011,3.17
Cuba,2012,2.96
Cuba,2013,2.24
Cuba,2014,0.25
Cuba,2015,3.76
Cuba,2016,0.07
Cuba,2017,1.61
Cuba,2018,2.57
Cuba,2019,0.47
Cuba,2020,-5.17
Cuba,2021,1.01
Cuba,2022,-0.55
Cuba,2023,-1.14
Cuba,2024,4.64
República Dominicana,2000,2.26
República Dominicana,2001,3.39
República Dominicana,2002,1.3
República Dominicana,2003,-1.6
República Dominicana,2004,-0.6
República Dominicana,2005,7.96
República Dominicana,2006,4.67
República Dominicana,2007,4.94
República Dominicana,2008,0.15
República Dominicana,2009,3.59
República Dominicana,2010,3.75
República Dominicana,2011,-0.33
República Dominicana,2012,-0.55
República Dominicana,2013,4.14
República Dominicana,2014,4.16
República Dominicana,2015,1.96
República Dominicana,2016,3.85
República Dominicana,2017,1.6
República Dominicana,2018,3.11
República Dominicana,2019,1.87
República Dominicana,2020,-0.92
República Dominicana,2021,7.62
República Dominicana,2022,1.02
República Dominicana,2023,-0.54
República Dominicana,2024,3.3
Ecuador,2000,1.25
Ecuador,2001,0.27
Ecuador,2002,2.17
Ecuador,2003,0.42
Ecuador,2004,0.34
Ecuador,2005,2.37
Ecuador,2006,0.19
Ecuador,2007,0.84
Ecuador,2008,5.27
Ecuador,2009,3.44
Ecuador,2010,3.29
Ecuador,2011,6.94
Ecuador,2012,2.15
Ecuador,2013,5.09
Ecuador,2014,1.85
Ecuador,2015,-6.43
Ecuador,2016,-4.79
Ecuador,2017,2.01
Ecuador,2018,0.46
Ecuador,2019,-1.24
Ecuador,2020,0.85
Ecuador,2021,-1.73
Ecuador,2022,3.84
Ecuador,2023,1.28
Ecuador,2024,0.24
El Salvador,2000,0.56
El Salvador,2001,0.82
El Salvador,2002,0.79
El Salvador,2003,-0.9
El Salvador,2004,2.49
El Salvador,2005,1.77
El Salvador,2006,2.36
El Salvador,2007,-0.01
El Salvador,2008,1.13
El Salvador,2009,-1.04
El Salvador,2010,-0.93
El Salvador,2011,2.23
El Salvador,2012,-0.07
El Salvador,2013,0.04
El Salvador,2014,2.75
El Salvador,2015,2.22
El Salvador,2016,0.89
El Salvador,2017,1.71
El Salvador,2018,1.77
El Salvador,2019,0.08
El Salvador,2020,-2.6
El Salvador,2021,5.72
El Salvador,2022,-1.04
El Salvador,2023,1.78
El Salvador,2024,1.55
Haití,2012,-2.01
Haití,2013,1.44
Haití,2014,0.84
Haití,2015,-0.66
Haití,2016,-0.04
Haití,2017,0.57
Haití,2018,-0.2
Haití,2019,-3.09
Haití,2020,-2.36
Haití,2021,-4.16
Haití,2022,-3.84
Haití,2023,-3.41
Haití,2024,-4.92
Honduras,2000,6.23
Honduras,2001,0.32
Honduras,2002,1.23
Honduras,2003,3.39
Honduras,2004,4.47
Honduras,2005,2.39
Honduras,2006,4.81
Honduras,2007,3.98
Honduras,2008,-0.17
Honduras,2009,-7.27
Honduras,2010,-0.41
Honduras,2011,4.77
Honduras,2012,2.55
Honduras,2013,-5.13
Honduras,2014,-0.73
Honduras,2015,-0.03
Honduras,2016,2.85
Honduras,2017,-0.92
Honduras,2018,-2.37
Honduras,2019,3.36
Honduras,2020,0.84
Honduras,2021,3.08
Honduras,2022,0.06
Honduras,2023,9.56
Honduras,2024,1.61
Jamaica,2000,0.19
Jamaica,2001,0.63
Jamaica,2002,1.11
Jamaica,2003,2.73
Jamaica,2004,0.03
Jamaica,2005,-0.15
Jamaica,2006,1.84
Jamaica,2007,0.36
Jamaica,2008,-1.79
Jamaica,2009,-1.73
Jamaica,2010,0.13
Jamaica,2011,0.13
Jamaica,2012,-1.21
Jamaica,2013,-1.55
Jamaica,2014,-2.39
Jamaica,2015,-4.92
Jamaica,2016,1.04
Jamaica,2017,-2.41
Jamaica,2018,-0.79
Jamaica,2019,-2.66
Jamaica,2020,-6.36
Jamaica,2021,0.89
Jamaica,2022,0.36
Jamaica,2023,2
Jamaica,2024,1.09
América Latina y el Caribe,2000,1.71
América Latina y el Caribe,2001,-1.9
América Latina y el Caribe,2002,-1.89
América Latina y el Caribe,2003,-0.68
América Latina y el Caribe,2004,2.83
América Latina y el Caribe,2005,1.3
América Latina y el Caribe,2006,2.52
América Latina y el Caribe,2007,3.35
América Latina y el Caribe,2008,1.66
América Latina y el Caribe,2009,-3.31
América Latina y el Caribe,2010,4.15
América Latina y el Caribe,2011,2.68
América Latina y el Caribe,2012,0.6
América Latina y el Caribe,2013,1.43
América Latina y el Caribe,2014,-0.35
América Latina y el Caribe,2015,-1.17
América Latina y el Caribe,2016,-1.57
América Latina y el Caribe,2017,-0.27
América Latina y el Caribe,2018,-0.91
América Latina y el Caribe,2019,-1.7
América Latina y el Caribe,2020,0.45
América Latina y el Caribe,2021,0.69
América Latina y el Caribe,2022,-1.03
América Latina y el Caribe,2023,0.35
América Latina y el Caribe,2024,1
El Caribe,2000,2.52
El Caribe,2001,2.97
El Caribe,2002,0.49
El Caribe,2003,0.47
El Caribe,2004,3.74
El Caribe,2005,2.14
El Caribe,2006,2.78
El Caribe,2007,1.86
El Caribe,2008,-0.5
El Caribe,2009,-1.01
El Caribe,2010,1.2
El Caribe,2011,0
El Caribe,2012,0.08
El Caribe,2013,0.58
El Caribe,2014,0.03
El Caribe,2015,-0.21
El Caribe,2016,-0.5
El Caribe,2017,-0.94
El Caribe,2018,-0.48
El Caribe,2019,0.15
El Caribe,2020,-3.69
El Caribe,2021,1.95
El Caribe,2022,0.29
El Caribe,2023,-0.49
El Caribe,2024,2.19
Argentina,2000,-0.74
Argentina,2001,-2.03
Argentina,2002,-7.34
Argentina,2003,0.47
Argentina,2004,3.69
Argentina,2005,5.64
Argentina,2006,4.37
Argentina,2007,6.82
Argentina,2008,3.11
Argentina,2009,-6.93
Argentina,2010,8.61
Argentina,2011,3.22
Argentina,2012,-1.77
Argentina,2013,1.72
Argentina,2014,-2.67
Argentina,2015,2.2
Argentina,2016,-2.32
Argentina,2017,2.35
Argentina,2018,-4.04
Argentina,2019,-3.5
Argentina,2020,-2.26
Argentina,2021,-1.16
Argentina,2022,0.35
Argentina,2023,-4.54
Argentina,2024,-2.61
Guatemala,2000,0.75
Guatemala,2001,-0.24
Guatemala,2002,0.87
Guatemala,2003,-0.33
Guatemala,2004,0.22
Guatemala,2005,1.03
Guatemala,2006,2.86
Guatemala,2007,3.78
Guatemala,2008,1.01
Guatemala,2009,-1.41
Guatemala,2010,0.91
Guatemala,2011,-0.78
Guatemala,2012,-6.12
Guatemala,2013,9.22
Guatemala,2014,0.4
Guatemala,2015,1.36
Guatemala,2016,-0.1
Guatemala,2017,-0.13
Guatemala,2018,1.46
Guatemala,2019,3.84
Guatemala,2020,0.59
Guatemala,2021,3
Guatemala,2022,-1.16
Guatemala,2023,0.4
Guatemala,2024,1.03
Guyana,2000,-0.51
Guyana,2001,2.91
Guyana,2002,1.89
Guyana,2003,-1.41
Guyana,2004,0.74
Guyana,2005,-2.68
Guyana,2006,4.1
Guyana,2007,6.76
Guyana,2008,1.44
Guyana,2009,3.47
Guyana,2010,4.12
Guyana,2011,5.12
Guyana,2012,5.12
Guyana,2013,3.36
Guyana,2014,1.49
Guyana,2015,0.54
Guyana,2016,3.54
Guyana,2017,3.44
Guyana,2018,0.58
Guyana,2019,9.54
Guyana,2020,49.41
Guyana,2021,17.38
Guyana,2022,58.21
Guyana,2023,33.08
Guyana,2024,40.29
Haití,2000,0.64
Haití,2001,-1.61
Haití,2002,-0.25
Haití,2003,1.95
Haití,2004,-2.6
Haití,2005,1.57
Haití,2006,0.29
Haití,2007,2.73
Haití,2008,-1
Haití,2009,1.9
Haití,2010,-7.94
Haití,2011,2.11
Bahamas,2000,2.06
Bahamas,2001,0.75
Bahamas,2002,3.55
Bahamas,2003,-0.79
Bahamas,2004,-1.48
Bahamas,2005,1.64
Bahamas,2006,-2.19
Bahamas,2007,-0.15
Bahamas,2008,-3.74
Bahamas,2009,1.01
Bahamas,2010,-0.01
Bahamas,2011,-0.92
Bahamas,2012,0.81
Bahamas,2013,-1.59
Bahamas,2014,-2.29
Bahamas,2015,-2.29
Bahamas,2016,-1.29
Bahamas,2017,-1.73
Bahamas,2018,1.6
Bahamas,2019,-3.04
Bahamas,2020,-14.56
Bahamas,2021,10.73
Bahamas,2022,4.9
Bahamas,2023,0.73
Bahamas,2024,0.99
México,2000,3.01
México,2001,-1.54
México,2002,-1.13
México,2003,-1.01
México,2004,1.02
México,2005,-1.59
México,2006,1.39
México,2007,-0.06
México,2008,-0.46
México,2009,-6.68
México,2010,3.06
México,2011,1.05
México,2012,0.19
México,2013,-0.58
México,2014,1.61
México,2015,0.43
México,2016,-0.03
México,2017,0.26
México,2018,-0.08
México,2019,-2.64
México,2020,-1.33
México,2021,-1.96
México,2022,-0.08
México,2023,-0.05
México,2024,0.04
América del Sur,2000,1.13
América del Sur,2001,-2.43
América del Sur,2002,-2.46
América del Sur,2003,-0.7
América del Sur,2004,3.54
América del Sur,2005,2.26
América del Sur,2006,2.77
América del Sur,2007,4.75
América del Sur,2008,2.65
América del Sur,2009,-2.44
América del Sur,2010,4.99
América del Sur,2011,3.42
América del Sur,2012,0.94
América del Sur,2013,2.03
América del Sur,2014,-1
América del Sur,2015,-1.98
América del Sur,2016,-2.46
América del Sur,2017,-0.45
América del Sur,2018,-1.3
América del Sur,2019,-1.89
América del Sur,2020,1.74
América del Sur,2021,1.06
América del Sur,2022,-1.53
América del Sur,2023,0.13
América del Sur,2024,1.2
Barbados,2000,2.74
Barbados,2001,-2.32
Barbados,2002,0.43
Barbados,2003,2.1
Barbados,2004,-1.87
Barbados,2005,2.79
Barbados,2006,5.03
Barbados,2007,0.06
Barbados,2008,0.98
Barbados,2009,-3.24
Barbados,2010,-1.62
Barbados,2011,-0.31
Barbados,2012,1.29
Barbados,2013,-2.9
Barbados,2014,3.06
Barbados,2015,0.56
Barbados,2016,-0.71
Barbados,2017,0.28
Barbados,2018,-0.86
Barbados,2019,1.29
Barbados,2020,-10.04
Barbados,2021,-2.07
Barbados,2022,17.26
Barbados,2023,3.14
Barbados,2024,3.77
Nicaragua,2000,0.9
Nicaragua,2001,-0.07
Nicaragua,2002,-1.85
Nicaragua,2003,-0.33
Nicaragua,2004,1.02
Nicaragua,2005,0.14
Nicaragua,2006,1.08
Nicaragua,2007,1.71
Nicaragua,2008,2.02
Nicaragua,2009,-3.87
Nicaragua,2010,1.31
Nicaragua,2011,2.24
Nicaragua,2012,2.25
Nicaragua,2013,2.4
Nicaragua,2014,1.42
Nicaragua,2015,2.78
Nicaragua,2016,1.56
Nicaragua,2017,1.89
Nicaragua,2018,-2.89
Nicaragua,2019,-4.1
Nicaragua,2020,-1.8
Nicaragua,2021,6.7
Nicaragua,2022,0.65
Nicaragua,2023,2.01
Nicaragua,2024,1.81
Panamá,2000,-0.34
Panamá,2001,-2.29
Panamá,2002,-0.76
Panamá,2003,1.45
Panamá,2004,3.78
Panamá,2005,4.31
Panamá,2006,7.34
Panamá,2007,8.69
Panamá,2008,4.81
Panamá,2009,2.6
Panamá,2010,1.37
Panamá,2011,10.07
Panamá,2012,3.88
Panamá,2013,3.42
Panamá,2014,3.74
Panamá,2015,3.56
Panamá,2016,2.35
Panamá,2017,4.58
Panamá,2018,-1.18
Panamá,2019,0.97
Panamá,2020,-8.4
Panamá,2021,14.42
Panamá,2022,0.75
Panamá,2023,5.49
Panamá,2024,0.83
Paraguay,2000,-2.05
Paraguay,2001,-4.43
Paraguay,2002,1.38
Paraguay,2003,0.87
Paraguay,2004,-3.99
Paraguay,2005,-0.35
Paraguay,2006,8.06
Paraguay,2007,0.03
Paraguay,2008,3.35
Paraguay,2009,-1.58
Paraguay,2010,10.8
Paraguay,2011,1.87
Paraguay,2012,-8.01
Paraguay,2013,8.47
Paraguay,2014,6.77
Paraguay,2015,0.49
Paraguay,2016,0.11
Paraguay,2017,2.4
Paraguay,2018,0.43
Paraguay,2019,-2.3
Paraguay,2020,1.83
Paraguay,2021,-0.22
Paraguay,2022,0.19
Paraguay,2023,1.92
Paraguay,2024,2.54
Perú,2000,3.79
Perú,2001,-5.85
Perú,2002,1.35
Perú,2003,-0.18
Perú,2004,2.1
Perú,2005,3.15
Perú,2006,0.88
Perú,2007,3.96
Perú,2008,7.59
Perú,2009,-0.71
Perú,2010,5.69
Perú,2011,5.61
Perú,2012,4.73
Perú,2013,5.56
Perú,2014,1.55
Perú,2015,3.24
Perú,2016,3.35
Perú,2017,-1.63
Perú,2018,1.01
Perú,2019,-0.49
Perú,2020,2.27
Perú,2021,4.71
Perú,2022,-3.53
Perú,2023,1.34
Perú,2024,1.23
Puerto Rico,2000,3.53
Puerto Rico,2001,7.07
Puerto Rico,2002,0.88
Puerto Rico,2003,-1.58
Puerto Rico,2004,6.69
Puerto Rico,2005,-3.27
Puerto Rico,2006,-1.07
Puerto Rico,2007,0.86
Puerto Rico,2008,1.5
Puerto Rico,2009,5.72
Puerto Rico,2010,3.98
Puerto Rico,2011,2.74
Puerto Rico,2012,-0.82
Puerto Rico,2013,0.08
Puerto Rico,2014,-0.99
Puerto Rico,2015,-2.46
Puerto Rico,2016,-1.16
Puerto Rico,2017,-1.32
Puerto Rico,2018,-5.5
Puerto Rico,2019,-1.1
Puerto Rico,2020,-3.21
Puerto Rico,2021,2.2
Puerto Rico,2022,-2.08
Puerto Rico,2023,0.02
Puerto Rico,2024,0.5
Santa Lucía,2000,-4.85
Santa Lucía,2001,-3.46
Santa Lucía,2002,0.32
Santa Lucía,2003,4.21
Santa Lucía,2004,3.22
Santa Lucía,2005,-5.38
Santa Lucía,2006,0.46
Santa Lucía,2007,-2.94
Santa Lucía,2008,1.09
Santa Lucía,2009,-1.93
Santa Lucía,2010,0.34
Santa Lucía,2011,4.47
Santa Lucía,2012,-4.09
Santa Lucía,2013,0.32
Santa Lucía,2014,-0.54
Santa Lucía,2015,-2.05
Santa Lucía,2016,1.06
Santa Lucía,2017,1.32
Santa Lucía,2018,1.47
Santa Lucía,2019,-4.33
Santa Lucía,2020,8.26
Santa Lucía,2021,-13.81
Santa Lucía,2022,7.3
Santa Lucía,2023,-4.14
Santa Lucía,2024,3.21
San Vicente y las Granadinas,2000,1.36
San Vicente y las Granadinas,2001,1.43
San Vicente y las Granadinas,2002,3.51
San Vicente y las Granadinas,2003,4.55
San Vicente y las Granadinas,2004,2.61
San Vicente y las Granadinas,2005,1.68
San Vicente y las Granadinas,2006,5.66
San Vicente y las Granadinas,2007,2.42
San Vicente y las Granadinas,2008,-0.14
San Vicente y las Granadinas,2009,-0.84
San Vicente y las Granadinas,2010,-3.69
San Vicente y las Granadinas,2011,-0.53
San Vicente y las Granadinas,2012,0.85
San Vicente y las Granadinas,2013,1.68
San Vicente y las Granadinas,2014,1.07
San Vicente y las Granadinas,2015,2.53
San Vicente y las Granadinas,2016,3.86
San Vicente y las Granadinas,2017,1.52
San Vicente y las Granadinas,2018,3.25
San Vicente y las Granadinas,2019,1.3
San Vicente y las Granadinas,2020,0.71
San Vicente y las Granadinas,2021,0.31
San Vicente y las Granadinas,2022,0.4
San Vicente y las Granadinas,2023,4.71
San Vicente y las Granadinas,2024,4.03
Bolivia,2000,0.7
Bolivia,2001,-0.07
Bolivia,2002,0.5
Bolivia,2003,0.78
Bolivia,2004,2.06
Bolivia,2005,2.29
Bolivia,2006,2.62
Bolivia,2007,2.47
Bolivia,2008,4.01
Bolivia,2009,1.71
Bolivia,2010,1.73
Bolivia,2011,2.82
Bolivia,2012,2.95
Bolivia,2013,5.24
Bolivia,2014,3.11
Bolivia,2015,4.16
Bolivia,2016,2.88
Bolivia,2017,0.45
Bolivia,2018,-2.39
Bolivia,2019,-2.72
Bolivia,2020,-4.44
Bolivia,2021,-4.84
Bolivia,2022,-0.26
Bolivia,2023,0.49
Bolivia,2024,-0.65
Suriname,2000,-2.97
Suriname,2001,-1.04
Suriname,2002,-2.24
Suriname,2003,1.31
Suriname,2004,4.28
Suriname,2005,1.86
Suriname,2006,3.16
Suriname,2007,2.54
Suriname,2008,1.47
Suriname,2009,0.4
Suriname,2010,0.83
Suriname,2011,3.61
Suriname,2012,0.67
Suriname,2013,-1.34
Suriname,2014,-1.99
Suriname,2015,-5.63
Suriname,2016,-6.66
Suriname,2017,-0.09
Suriname,2018,2.85
Suriname,2019,-0.51
Suriname,2020,-11.82
Suriname,2021,-4.87
Suriname,2022,0.67
Suriname,2023,0.11
Suriname,2024,1.37
Brasil,2000,1.51
Brasil,2001,-1.35
Brasil,2002,-0.46
Brasil,2003,-0.12
Brasil,2004,1.82
Brasil,2005,0.87
Brasil,2006,1.72
Brasil,2007,4.48
Brasil,2008,2.47
Brasil,2009,-0.74
Brasil,2010,6.79
Brasil,2011,3.54
Brasil,2012,0.82
Brasil,2013,1.49
Brasil,2014,-0.8
Brasil,2015,-3.31
Brasil,2016,-1.22
Brasil,2017,1.15
Brasil,2018,0.2
Brasil,2019,-0.85
Brasil,2020,4.88
Brasil,2021,0.03
Brasil,2022,-3.77
Brasil,2023,1.72
Brasil,2024,2.28
Trinidad y Tabago,2000,3.96
Trinidad y Tabago,2001,1.02
Trinidad y Tabago,2002,5.63
Trinidad y Tabago,2003,10.82
Trinidad y Tabago,2004,2.14
Trinidad y Tabago,2005,2.67
Trinidad y Tabago,2006,9.81
Trinidad y Tabago,2007,3.74
Trinidad y Tabago,2008,1.71
Trinidad y Tabago,2009,-3.27
Trinidad y Tabago,2010,2.91
Trinidad y Tabago,2011,-0.13
Trinidad y Tabago,2012,5.49
Trinidad y Tabago,2013,1.55
Trinidad y Tabago,2014,2.48
Trinidad y Tabago,2015,-0.2
Trinidad y Tabago,2016,-5.94
Trinidad y Tabago,2017,-4.59
Trinidad y Tabago,2018,-1.89
Trinidad y Tabago,2019,-0.08
Trinidad y Tabago,2020,-5.09
Trinidad y Tabago,2021,0.24
Trinidad y Tabago,2022,-0.68
Trinidad y Tabago,2023,0.48
Trinidad y Tabago,2024,2.04
Belice,2000,4.91
Belice,2001,-1.29
Belice,2002,2.31
Belice,2003,5.71
Belice,2004,0.95
Belice,2005,-1.38
Belice,2006,-1.19
Belice,2007,-1.59
Belice,2008,-5.58
Belice,2009,-4
Belice,2010,-2.46
Belice,2011,-4
Belice,2012,-0.14
Belice,2013,0.71
Belice,2014,-0.73
Belice,2015,-1.28
Belice,2016,-4.51
Belice,2017,-5.08
Belice,2018,-4.5
Belice,2019,-0.8
Belice,2020,-6.76
Belice,2021,19.86
Belice,2022,4.65
Belice,2023,-2.58
Belice,2024,2.03
Islas Vírgenes de los Estados Unidos,2000,0.51
Islas Vírgenes de los Estados Unidos,2001,-3.87
Islas Vírgenes de los Estados Unidos,2002,1.93
Islas Vírgenes de los Estados Unidos,2003,1.91
Islas Vírgenes de los Estados Unidos,2004,-0.58
Islas Vírgenes de los Estados Unidos,2005,1.32
Islas Vírgenes de los Estados Unidos,2006,1.82
Islas Vírgenes de los Estados Unidos,2007,2.31
Islas Vírgenes de los Estados Unidos,2008,1.43
Islas Vírgenes de los Estados Unidos,2009,-5.31
Islas Vírgenes de los Estados Unidos,2010,4.05
Islas Vírgenes de los Estados Unidos,2011,-8.37
Islas Vírgenes de los Estados Unidos,2012,-12.45
Islas Vírgenes de los Estados Unidos,2013,0.65
Islas Vírgenes de los Estados Unidos,2014,0.46
Islas Vírgenes de los Estados Unidos,2015,-3.44
Islas Vírgenes de los Estados Unidos,2016,4.13
Islas Vírgenes de los Estados Unidos,2017,-0.49
Islas Vírgenes de los Estados Unidos,2018,12.04
Islas Vírgenes de los Estados Unidos,2019,11.08
Islas Vírgenes de los Estados Unidos,2020,1.88
Islas Vírgenes de los Estados Unidos,2021,0.63
Islas Vírgenes de los Estados Unidos,2022,-16.52
Islas Vírgenes de los Estados Unidos,2023,1.87
Islas Vírgenes de los Estados Unidos,2024,1.96
Uruguay,2000,-0.61
Uruguay,2001,-3.72
Uruguay,2002,-3.79
Uruguay,2003,1.98
Uruguay,2004,-0.4
Uruguay,2005,5.85
Uruguay,2006,-1.73
Uruguay,2007,1.35
Uruguay,2008,4.7
Uruguay,2009,2.14
Uruguay,2010,7.22
Uruguay,2011,0.86
Uruguay,2012,4.34
Uruguay,2013,4.63
Uruguay,2014,1.14
Uruguay,2015,2.27
Uruguay,2016,2.03
Uruguay,2017,2.03
Uruguay,2018,0.81
Uruguay,2019,0.97
Uruguay,2020,-2.49
Uruguay,2021,1.12
Uruguay,2022,2.36
Uruguay,2023,-0.67
Uruguay,2024,2.85
Venezuela,2000,0.25
Venezuela,2001,-0.41
Venezuela,2002,-6.71
Venezuela,2003,-8.29
Venezuela,2004,11.26
Venezuela,2005,1.66
Venezuela,2006,4.1
Venezuela,2007,5.68
Venezuela,2008,2.25
Venezuela,2009,-4.79
Venezuela,2010,-1.93
Venezuela,2011,2.47
Venezuela,2012,4.32
Venezuela,2013,1.44
Venezuela,2014,-5.44
Venezuela,2015,-7.6
Venezuela,2016,-17.95
Venezuela,2017,-13.79
Venezuela,2018,-14.68
Venezuela,2019,-20.92
Venezuela,2020,-23.16
Venezuela,2021,-0.28
Venezuela,2022,4.43
Venezuela,2023,2.16
Venezuela,2024,2.37
